"""conference""","""year""","""doi""","""title""","""citationCount""","""download6weeks""","""download12months""","""downloadAll""","""keywords""","""pageNumber""","""authors"""
CHI,1,http://dx.doi.org/10.1145/365024.365027,Scale effects in steering law tasks,29,4,60,938,arm; consumer products; control theory; device size; finger; human factors; input devices and strategies; limb; movement scale; steering law; wrist,8,"81100509407, Johnny Accot, IBM Almaden Research Center, 650 Harry Road, San Jose, CA; 81408591988, Shumin Zhai; "
CHI,1,http://dx.doi.org/10.1145/365024.365028,Accuracy measures for evaluating computer pointing devices,93,13,148,"2,267",computer pointing devices; design; human factors; measurement; performance evaluation; reliability,8,"81100367406, I. Scott MacKenzie, Dept. of Computer Science, York University, Toronto, Ontario, Canada M3J 1P3; 81100358954, Tatu Kauppinen, Nokia Research Center, P.O. Box 407, FIN-00045 Nokia Group, Finland; 81100199031, Miika Silfverberg, Nokia Research Center, P.O. Box 407, FIN-00045 Nokia Group, Finland; "
CHI,1,http://dx.doi.org/10.1145/365024.365030,Laser pointer interaction,89,6,86,"1,686",camera-based interaction; group interaction; input devices and strategies; interaction techniques; management; performance; user/machine systems,6,"81410595121, Dan R. Olsen, Jr., Computer Science Department, Brigham Young University, Provo, UT; 81332518387, Travis Nielsen, Computer Science Department, Brigham Young University, Provo, UT; "
CHI,1,http://dx.doi.org/10.1145/365024.365031,Listen reader: an electronically augmented paper-based book,54,15,114,"1,851","artificial, augmented, and virtual realities; audio input/output; augmented reality; documentation; embedded tags; gestural input; interactive audio; interactive museum; management; natural language; page detection; portable devices; smart documents; theory; voice i/o",7,"81100005666, Maribeth Back, Xerox PARC, 3333 Coyote Hill Road, Palo Alto, CA; 81332493853, Jonathan Cohen, Xerox PARC, 3333 Coyote Hill Road, Palo Alto, CA; 81332501009, Rich Gold, Xerox PARC, 3333 Coyote Hill Road, Palo Alto, CA; 81100010024, Steve Harrison, Xerox PARC, 3333 Coyote Hill Road, Palo Alto, CA; 81100078779, Scott Minneman, Xerox PARC, 3333 Coyote Hill Road, Palo Alto, CA; "
CHI,1,http://dx.doi.org/10.1145/365024.365032,"Exploiting interactivity, influence, space and time to explore non-linear drama in virtual worlds",10,4,37,940,"artificial, augmented, and virtual realities; enterainment applications; interaction styles; management; theory; virtual reality",8,"81100554242, Mike Craven, School of Computer Science, University of Nottingham, Nottingham, NG8 1BB, UK; 81542123356, Ian Taylor, School of Computer Science, University of Nottingham, Nottingham, NG8 1BB, UK; 81100638532, Adam Drozd, School of Computer Science, University of Nottingham, Nottingham, NG8 1BB, UK; 81100542016, Jim Purbrick, School of Computer Science, University of Nottingham, Nottingham, NG8 1BB, UK; 81100557223, Chris Greenhalgh, School of Computer Science, University of Nottingham, Nottingham, NG8 1BB, UK; 81100619971, Steve Benford, School of Computer Science, University of Nottingham, Nottingham, NG8 1BB, UK; 81100364452, Mike Fraser, School of Computer Science, University of Nottingham, Nottingham, NG8 1BB, UK; 81100260889, John Bowers, NADA, Royal Institute of Technology, S-100 44 Stockholm, Sweden; 81100228951, Kai-Mikael J&#228;&#228;-Aro, NADA, Royal Institute of Technology, S-100 44 Stockholm, Sweden; 81408601767, Bernd Lintermann; 81332504327, Michael Hoch; "
CHI,1,http://dx.doi.org/10.1145/365024.365033,Orchestrating a mixed reality performance,31,3,39,833,"artificial, augmented, and virtual realities; human factors; mixed reality; performance; theory; virtual reality",8,"81100296314, Boriana Koleva, School of Computer Science, The University of Nottingham, Nottingham NG7 2RD, UK; 81542123356, Ian Taylor, School of Computer Science, The University of Nottingham, Nottingham NG7 2RD, UK; 81100619971, Steve Benford, School of Computer Science, The University of Nottingham, Nottingham NG7 2RD, UK; 81100364452, Mike Fraser, School of Computer Science, The University of Nottingham, Nottingham NG7 2RD, UK; 81100557223, Chris Greenhalgh, School of Computer Science, The University of Nottingham, Nottingham NG7 2RD, UK; 81100504057, Holger Schn&#228;delbach, School of Computer Science, The University of Nottingham, Nottingham NG7 2RD, UK; 81100561154, Dirk vom Lehn, The Management Centre, Kings College London, Franklin-Wilkins Building, London SE1 8WA, UK; 81100164455, Christian Heath, The Management Centre, Kings College London, Franklin-Wilkins Building, London SE1 8WA, UK; 81100463317, Ju Row-Farr; 81100312947, Matt Adams; "
CHI,1,http://dx.doi.org/10.1145/365024.365034,Cookies and Web browser design: toward realizing informed consent online,25,16,190,"1,950",computer ethics; design; e-commerce; human factors; human-computer interaction; interaction styles; internet; locus of control; measurement; online interactions; personalization; privacy; social computing; theory; value-sensitive design; world wide web,7,"81100351532, Lynette I. Millett, Department of Computer Science, Cornell University, Ithaca, NY; 81100636215, Batya Friedman, The Information School, University of Washington, Seattle, WA; 81100373505, Edward Felten, Department of Computer Science, Princeton University, NJ; "
CHI,1,http://dx.doi.org/10.1145/365024.365035,Empirically validated web page design metrics,49,19,152,"4,177",automated usability evaluation; empirical studies; human factors; measurement; screen design; web site design; web-based services,8,"81100296046, Melody Y. Ivory, EECS Department, UC Berkeley, Berkeley, CA; 81100335844, Rashmi R. Sinha, SIMS/Psychology Department, UC Berkeley, Berkeley, CA; 81100612246, Marti A. Hearst, SIMS, UC Berkeley, Berkeley, CA; "
CHI,1,http://dx.doi.org/10.1145/365024.365037,What makes Web sites credible?: a report on a large quantitative study,120,54,357,"5,636",captology; design; expertise; management; online research; reliability; trustworthiness; web design; web-based services,8,"81452616406, B. J. Fogg, Persuasive Technology Lab, Stanford University, Cordura Hall, Stanford, CA; 81100280809, Jonathan Marshall, Persuasive Technology Lab, Stanford University, Cordura Hall, Stanford, CA; 81100342488, Othman Laraki, Persuasive Technology Lab, Stanford University, Cordura Hall, Stanford, CA; 81100578560, Alex Osipovich, Persuasive Technology Lab, Stanford University, Cordura Hall, Stanford, CA; 81100153571, Chris Varma, Persuasive Technology Lab, Stanford University, Cordura Hall, Stanford, CA; 81100350049, Nicholas Fang, Persuasive Technology Lab, Stanford University, Cordura Hall, Stanford, CA; 81100339687, Jyoti Paul, Persuasive Technology Lab, Stanford University, Cordura Hall, Stanford, CA; 81100141598, Akshay Rangnekar, Persuasive Technology Lab, Stanford University, Cordura Hall, Stanford, CA; 81100456453, John Shon, Persuasive Technology Lab, Stanford University, Cordura Hall, Stanford, CA; 81332530745, Preeti Swani, Persuasive Technology Lab, Stanford University, Cordura Hall, Stanford, CA; 81100446411, Marissa Treinen, Persuasive Technology Lab, Stanford University, Cordura Hall, Stanford, CA; "
CHI,1,http://dx.doi.org/10.1145/365024.365038,Improving the performance of the cyberlink mental interface with &ldquo;yes / no program&rdquo;,6,2,24,710,assistive technologies for persons with disabilities; cyberlink; human factors; interaction techniques; mental interface; performance; user/machine systems,8,"81100175531, Eamon Doherty, School of Computing, Engineering and Technology, University of Sunderland, P.O. Box 299, Sunderland, SR6 OYN, UK; 81100175348, Gilbert Cockton, School of Computing, Engineering and Technology, University of Sunderland, P.O. Box 299, Sunderland, SR6 OYN, UK; 81100198998, Chris Bloor, School of Computing, Engineering and Technology, University of Sunderland, P.O. Box 299, Sunderland, SR6 OYN, UK; 81100643688, Dennis Benigno; "
