81100474693, Christopher Holguin,Gestural and audio metaphors as a means of control for mobile devices
81100570840, Kathleen Luchini,Pocket PiCoMap: a case study in designing and assessing a handheld concept mapping tool for learners|Design guidelines for learner-centered handheld tools
81320491642, Cliff Lampe,Slash(dot) and burn: distributed moderation in a large online conversation space
81332491415, A. J. Bernheim Brush,Robust annotation positioning in digital documents|Notification for shared annotation of digital documents|Assessing differential usage of usenet social accounting meta-data
81100318754, Tomas Sokoler,Quiet calls: talking silently on mobile phones
81100098292, Alastair Iles,Livenotes: a system for cooperative and augmented note-taking in lectures
81100308687, Daniel C. Howe,Values at play: design tradeoffs in socially-oriented game design
81100612246, Marti A. Hearst,Empirically validated web page design metrics|Statistical profiles of highly-rated web sites|Faceted metadata for image search and browsing|Improving aviation safety with information visualization: a flight simulation study
81100190815, Gina Danielle Venolia,Linking public spaces: technical and social issues|Understanding sequence and reply relationships within email conversations: a mixed-model visualization
81100277550, Pam Briggs,Trust and mistrust of online health sites
81100076840, Oliver Bayley,Casablanca: designing social communication devices for the home
81100538591, Roger Tourangeau,Social presence in Web surveys
81452595293, Robert Lee,Where do web sites come from?: capturing and interacting with design history|Two worlds apart: bridging the gap between physical and virtual media for distributed design collaboration
81100647415, Antonella De Angeli,Usability and biometric verification at the ATM interface
81343495796, Shamsi T. Iqbal,Towards an index of opportunity: understanding changes in mental workload during task execution
81100444640, Alan Walendowski,Hubbub: a sound-enhanced mobile instant messenger that supports awareness and opportunistic interactions
81100163669, Gareth V. Hughes,Breaking the book: translating the chemistry lab book into a pervasive computing lab environment
81100290429, Ivo Weevers,GAZE-2: conveying eye contact in group video conferencing using eye-controlled camera direction
81100369572, Henry Been-Lirn Duh,An &ldquo;independent visual background&rdquo; reduced balance disturbance envoked by visual scene motion: implication for alleviating simulator sickness
81100367227, Christine L. MacKenzie,Reaching movements to augmented and graphic objects in virtual environments
81100446411, Marissa Treinen,What makes Web sites credible?: a report on a large quantitative study
81100013375, Barry Brown,Lessons from the lighthouse: collaboration in a shared mixed reality system
81100515996, Naoki Mukawa,Messages embedded in gaze of interface agents --- impression management with agent's gaze
81350589236, Ruth Anderson,A study of digital ink in lecture presentation
81100029990, Nicolas Roussel,Technology probes: inspiring design for and with families
81332518387, Travis Nielsen,Laser pointer interaction
81100484653, Kenneth R. Koedinger,"Off-task behavior in the cognitive tutor classroom: when students ""game the system""|Predictive human performance modeling made easy"
81100619329, Johanna ysniemi,Animaatiokone: an installation for creating clay animation|Martial arts in artificial reality
81100578137, Stefan Schlechtweg,Connecting time-oriented data and information to a coherent interactive visualization
81100593278, Ivan Poupyrev,Gummi: a bendable computer
81100424146, Orna Tarshish,Livenotes: a system for cooperative and augmented note-taking in lectures
81100374936, Preston Tollinger,Supporting efficient development of cognitive models at multiple skill levels: exploring recent advances in constraint-based modeling
81100364452, Mike Fraser,"Exploiting interactivity, influence, space and time to explore non-linear drama in virtual worlds|Orchestrating a mixed reality performance|The augurscope: a mixed reality interface for outdoors|Revealing delay in collaborative environments|Designing the spectator experience"
81100405512, James Fusia,Twiddler typing: one-handed chording text entry for mobile phones
81100391905, Tommi Ilmonen,Martial arts in artificial reality
81100049057, Steve Tsang,A suggestive interface for image guided 3D sketching
81100018490, Daniel Fallman,Design-oriented human-computer interaction
81100545115, Gerrit van der Veer,Eye gaze patterns in conversations: there is more to conversational agents than meets the eyes
81100156639, Mike Schneider,Calling while driving: effects of providing remote traffic context
81100482886, Bonnie E. John,Beyond command knowledge: identifying and teaching strategic knowledge for using complex computer applications|Automating CPM-GOMS|Predictive human performance modeling made easy
