authorid,author,numofpapers
81100474693, Christopher Holguin,1
81100570840, Kathleen Luchini,2
81320491642, Cliff Lampe,1
81332491415, A. J. Bernheim Brush,3
81100318754, Tomas Sokoler,1
81100098292, Alastair Iles,1
81100308687, Daniel C. Howe,1
81100612246, Marti A. Hearst,4
81100190815, Gina Danielle Venolia,2
81100277550, Pam Briggs,1
81100076840, Oliver Bayley,1
81100538591, Roger Tourangeau,1
81452595293, Robert Lee,2
81100647415, Antonella De Angeli,1
81343495796, Shamsi T. Iqbal,1
81100444640, Alan Walendowski,1
81100163669, Gareth V. Hughes,1
81100290429, Ivo Weevers,1
81100369572, Henry Been-Lirn Duh,1
81100367227, Christine L. MacKenzie,1
81100446411, Marissa Treinen,1
81100013375, Barry Brown,1
81100515996, Naoki Mukawa,1
81350589236, Ruth Anderson,1
81100029990, Nicolas Roussel,1
81332518387, Travis Nielsen,1
81100484653, Kenneth R. Koedinger,2
81100619329, Johanna ysniemi,2
81100578137, Stefan Schlechtweg,1
81100593278, Ivan Poupyrev,1
81100424146, Orna Tarshish,1
81100374936, Preston Tollinger,1
81100364452, Mike Fraser,5
81100405512, James Fusia,1
81100391905, Tommi Ilmonen,1
81100049057, Steve Tsang,1
81100018490, Daniel Fallman,1
81100545115, Gerrit van der Veer,1
81100156639, Mike Schneider,1
81100482886, Bonnie E. John,3
81100143427, Andy Crabtree,2
81100223814, Ivan Vaghi,1
81100489952, E. W. Looney,1
81100469781, Neal Lesh,1
81100325648, Amy Hurst,1
81100299516, James Pitkow,1
81100606762, Daniel Wigdor,1
81548022688, Jie Yang,2
81100333050, Antti Oulasvirta,2
81100442250, Christopher Hibbeln,1
81100542016, Jim Purbrick,1
81320490798, Ruud Janssen,1
81338491410, Eric Wilcox,2
81543129856, Brian Richards,1
81100009780, Jun Gong,1
81100526497, Sarah Craighill,1
81100496311, Shrinu Prabhakararao,1
81100244379, Wai-Tat Fu,1
81100164979, Timothy Beamish,1
81100643688, Dennis Benigno,1
81392593767, Ishwinder Kaur,1
81100269378, Thomas A. Finholt,2
81100250252, Eva Jettmar,1
81100510429, Matt Notowidigdo,1
81100475948, Kevin Li,1
81452611908, Anoop Gupta,7
81100165082, Helen Neale,1
81100009981, Li Gong,1
81100413045, Rachel Coulston,1
81100659202, Cliff Randell,1
81100584026, Loucas Louca,1
81100014484, Antonietta Grasso,1
81100161409, Steven A. Wolfman,1
81100589917, Mark Rouncefield,1
81100503904, Ravin Balakrishnan,9
81100364954, Claudio Pinhanez,1
81100623883, Bongwon Suh,1
81336492537, Jennifer L. Schwartz,1
81100605090, Michael McGuffin,1
81436593472, Ryan Shaun Baker,1
81100329599, Yuichi Itoh,1
81100448030, Istvan Albert,1
81100543332, Werner Geyer,2
81100107326, Kim Chen,1
81100147309, Amy Voida,3
81100191442, Lynne Coventry,1
81100163569, Stephen Hughes,1
81100023369, Laura Pelton,1
81100048363, Michael Matessa,1
81100457566, Marina U. Bers,1
81100650586, Laura Dabbish,2
81100323311, Yutaka Yamauchi,1
81100235288, Karyn Moffatt,2
81100327302, Allison Woodruff,5
81100443285, Virpi Roto,2
81100615391, Mel Slater,2
81100336339, Christopher Atkeson,1
81100188366, Konstantine Prevas,1
81100373505, Edward Felten,1
81100500360, Andrew J. Ko,2
81100347821, Tom Rodden,4
81100181796, Nahid Shahmehri,1
81100197069, Saul Greenberg,1
81100080130, Elaine M. Huang,2
81100360895, Timothy Bickmore,1
81328491196, Mark Zuber,1
81100301891, Kushal Dave,1
81100364989, Scott R. Klemmer,4
81371591530, Richard J. Anderson,1
81100356745, Ron Logan,1
81100272682, Andrew Wallace,1
81100225915, Paul Resnick,1
81100311217, Erik Geelhoed,1
81100377785, Tony Pridmore,1
81100017972, Ernesto Arroyo,1
81100330147, Joseph R. Ruthruff,1
81410591776, Yasuhiro Yamamoto,1
81100059950, Bernhard Suhm,1
81100297942, Beth Brownholtz,2
81100655637, Richard Boardman,1
81100168552, Brynley S. Zorich,1
81100334243, Jennifer Thom-Santelli,1
81100499551, Morgan Ames,1
81100275460, Moin Rahman,1
81332517372, Michael J. Muller,4
81100385764, Elaine J. Lee,1
81100537816, Joshua D. Hoffman,1
81350580013, Yang Li,1
81100181833, R. William Soukoreff,1
81100174065, Frederick A. Peck,1
81100476487, Sara Kiesler,5
81100086599, David R. Millen,3
81100478323, Jeremy Frey,1
81100037866, Marilyn Hughes Blackmon,3
81100228688, Stuart Reeves,1
81100263935, Allison D'Amour,1
81100177145, Tim Muss,1
81100564883, Frederick Reif,1
81540376156, Celia Chow,1
81100077378, Marc A. Smith,3
81100256486, David Margrave,1
81100302046, Simon Bee,1
81100344146, Masanori Sugimoto,1
81100499212, Leila A. Takayama,1
81100653291, M. A. Diftler,1
81100643154, Sachi Mizobuchi,1
81405592014, John C. Tang,1
81537370456, Terry R. Payne,1
81452616426, Bill Buxton,1
81100069190, Steve Sutphen,1
81100521529, Paul Dourish,2
81100449044, Graham Johnson,1
81100210119, Simon Goumaz,1
81539945456, Kimberly Tee,1
81100359199, Stephen Brewster,2
81100424672, Melanie Tory,1
81100273942, Yoshifumi Kitamura,2
81100210197, Mark Handel,1
81100136743, Yasuko Suga,1
81100279599, Gloria Mark,2
81100051919, P. John Clarkson,1
81100638532, Adam Drozd,3
81100337865, Margaret Burnett,3
81100347361, Kerry Rodden,2
81339531194, Veikko Surakka,1
81100405791, Karen Syrjala,1
81100271605, Eric Tse,1
81100325769, Arthur E. Kirkpatrick,1
81452615958, Kent O'Hara,1
81547550356, Shuo Wang,1
81100402556, Michael Freed,1
81100057970, Leslie D. Setlock,2
81100264872, Tu Tran,1
81384603768, Jenni Anttonen,1
81100374934, Irene Tollinger,1
81385592906, James Begole,1
81100581975, Marcus Bunyan,1
81100305183, Colin Potts,1
81100632992, Nigel Ward,1
81100343583, Chia Shen,1
81100030964, Peter Tolmie,1
81100531718, Daniel Wilson,1
81100498912, Rishi Bhatnagar,1
81100117380, Peter Schr&#246,1
81100149852, Philip R. Cohen,1
81100339687, Jyoti Paul,1
81100400779, Wayne D. Gray,1
81100137268, Patrick Baudisch,7
81100219062, Xiaoqing Wang,1
81100096770, Atsushi Fukayama,1
81542414456, Daniel Hsu,1
81100067252, Andrew Faulring,1
81100458316, Thompson Ritchie,1
81100610626, Leysia Palen,1
81311483103, m. c. schraefel,1
81100100427, Gerd Andersson,1
81100289712, Anatole Lcuyer,1
81100596912, Garth B. D. Shoemaker,1
81100451083, C. W. Johnson,1
81100492013, Jodi Forlizzi,3
81100022967, John Rondoni,1
81100449901, Yoshihisa Yamaguchi,1
81100485151, Sameer Patil,1
81100582390, Faustina Hwang,1
81100323543, Eric Horvitz,1
81406595842, Wei Huang,1
81328488487, Rebecca E. Grinter,4
81100086432, Matthew Chalmers,1
81100210715, Joel S. Greenstein,1
81100265477, Alison Sue,2
81100187010, David Bargeron,3
81100554724, Owain Jones,1
81100369055, Anna Cavender,1
81100435652, Daniel G. Bobrow,2
81100280834, Mary Czerwinski,7
81100564488, Stefan Marti,1
81100017207, Mark S. Ackerman,1
81414617247, Janak Bhalodia,1
81100450870, Allison Farber,1
81100231799, Laurel Swan,1
81100624565, Michael Thomsen,2
81100626173, Asta Glatzer,1
81100178417, Jean-Marie Burkhardt,1
81100219909, Alonso Vera,3
81100309669, Abigail J. Sellen,1
81100013114, Brian Knep,1
81100308969, Hector Garcia-Molina,1
81100457553, Josh Bers,1
81100194297, Alasdair King,1
81100093188, Aaron Drew,1
81100465553, Jeffrey Heer,3
81100415845, David Ahlstrm,1
81100252735, Peter Pirolli,4
81100595029, Jenea Boshart,1
81100338676, Jennifer Hagman,1
81409598196, Tina S. Kim,1
81100009538, Stephen S. Intille,2
81100254452, David Kieras,2
81100522024, Bichakjian K. Christopher,1
81547611256, Kate L. Shaw,1
81100039671, Larry Stead,1
81430615966, Keri Facer,1
81452599499, Jennifer Lai,3
81100567382, Victor Kaptelinin,1
81100573160, John Stasko,1
81100071523, Dan Frankowski,2
81100142271, James Fogarty,3
81100104436, Helen Nissenbaum,1
81100149095, Orion Granatir,1
81100423179, Julie Morrsion,2
81100613506, Victor M. Gonzalez,2
81100592584, Elizabeth Hayes,1
81100550016, Brian D. Fisher,2
81100323196, Barbara Purves,2
81100134501, Susan Dumais,2
81100007762, Michiaki Yasumura,1
81100130120, Andreas Paepcke,1
81100159425, Kat S. Park,1
81100586721, Scott Lederer,1
81100252594, Gregg Rothermel,1
81100170435, Donald E. Parker,1
81410592346, Hao Liu,1
81100544371, Stacey D. Scott,2
81100355462, Vinoba Vinayagamoorthy,1
81100396031, Adam Eversole,1
81100349341, Sue Cobb,1
81335497253, Karan Singh,2
81471640432, James Lin,3
81100585120, George Fitzmaurice,2
81100170154, Kellogg Booth,4
81430599887, Daniel Glaser,1
81311485174, Duncan Rowland,1
81100224964, Sonja Pedell,1
81328488680, David Holman,1
81100255813, David Getty,1
81350576893, Michal Lahav,1
81100239551, Dimitrios Miras,1
81100073964, David R. McGee,1
81100421673, Daniel Markley,1
81548114764, Chris Beckmann,1
81100387125, Susan Wiedenbeck,1
81385598345, Xing Xie,1
81100463317, Ju Row-Farr,3
81100243264, Shelly Farnham,3
81408594090, Charles Owen,1
81100490463, Frank Vetere,1
81100065366, Michael Rounding,1
81100168208, Amy K. Karlson,1
81100333345, Mick P. Couper,1
81100590648, Jack Whalen,1
81100136322, Robert Slagter,1
81100466414, A. Chris Long,1
81100551494, Martin Svensson,1
81333491829, Aaron Wilson,1
81363598414, John R. Anderson,1
81350567780, Andrew Wilson,1
81408591772, Dave Kong,1
81100198998, Chris Bloor,2
81100223171, Karen Mecoles,1
81100193517, Kim Cameron,1
81100519153, Jaana Kuorelahti,1
81100279634, Anand K. Gramopadhye,1
81100168814, K. K. Lamberty,1
81100545675, Tara Matthews,1
81325488901, Satoshi Koizumi,1
81100005466, Ledah Casburn,1
81100337812, David R. Karger,1
81100557223, Chris Greenhalgh,6
81100311272, Poika Isokoski,3
81100229167, Tammara Combs Turner,1
81100340340, James D. Herbsleb,1
81100070891, Ekaterina Beregovaia,1
81341496878, Changuk Sohn,1
81100636215, Batya Friedman,2
81100311577, Andriy Pavlovych,1
81100493601, Kent Lyons,1
81319496410, Jack Li,1
81100646522, Tim Harter,1
81100106817, Jo&#235,1
81100433710, Austin Henderson,1
81100629235, Jarmo Laaksolahti,1
81100233343, Jingtao Wang,2
81542582156, Andrew T. Fiore,2
81100383349, John D. McCarthy,2
81332532709, Wataru Tsukahara,1
81100116577, Peter Harris,1
81100506986, Christiaan Royer,1
81100196786, David Vronay,1
81100350115, Richard L. Lewis,2
81544146256, Peter Flynn,1
81330492654, Toru Ishida,1
81100382904, Bjrn Eiderbck,1
81100122064, Sarah P. Everett,1
81100034167, Sander Vroegindeweij,1
81100269681, Mija Van Der Wege,2
81100608981, Karon Maclean,1
81332522999, Kelly M. Reischel,1
81100036324, Mark Perry,1
81100527195, Lili Liu,1
81100133304, Amy Skopik,2
81100495774, Jamey Graham,1
81100452612, Sakari Tamminen,1
81100318557, Steve Whittaker,2
81100064270, Matthew Boulos,1
81100366024, Steve Bathiche,1
81100570565, Joshua Savage,1
81452613064, Richard Harper,2
81100509407, Johnny Accot,4
81100177881, Sajay Sadasivan,1
81100563089, Kirsten Swearingen,1
81100031531, Jonathan Grudin,4
81100092251, Diane J. Schiano,1
81100260889, John Bowers,1
81100454370, Will Hill,1
81100349943, Michael Lewis,1
81100524289, Constance Fleuriot,1
81452612822, George G. Robertson,5
81100640680, Anthony Tang,1
81100505459, Mark Altosaar,1
81100232506, Joanna McGrenere,4
81100367757, Stuart Tasker,1
81100255664, Desney S. Tan,5
81100373510, Lucy Wood,1
81100094737, David Sinclair,1
81100169387, Victor J. Strecher,1
81100205527, Gesara Supattanasiri,1
81100340293, Elspeth Golden,1
81407594358, Paul Green,1
81100282129, Dipti Ranganthan,1
81332497475, Jason B. Ellis,1
81100370425, Philip DeCamp,1
81100495075, Ellen Isaacs,1
81100090466, Steven M. Drucker,1
81100025684, Sante Simms,1
81100194756, Scott Lee Tiernan,1
81100280809, Jonathan Marshall,1
81100136888, Alyssa Glass,1
81100608447, Ebba Thora Hvannberg,1
81100620653, Keiichi Yamazaki,1
81100212035, Jeffrey T. Hancock,1
81100288406, Irina A. Shklovski,1
81100209051, Michelle E. Bayles,1
81100632144, Darby M. Steiger,1
81100041699, Gary Zamchick,1
81350592994, Wei-Ying Ma,1
81100097264, Daniel Phifer,1
81100435759, Suresh K. Bhavnani,2
81100558662, Per Persson,1
81100435029, Justine Cassell,1
81100485377, Helen Evans,1
81100167805, Jaime Teevan,1
81100142948, John E. Churchill,1
81100623912, Brian D. Ehret,1
81100116901, Nicolas Ducheneaut,3
81100097460, Pamela K. Schraedley,2
81405594119, Scott Carter,1
81100497077, Roel Vertegaal,4
81100413643, Carlo Ratti,1
81100638062, Imamizu Hiroshi,1
81100083927, Benjamin B. Bederson,3
81100199031, Miika Silfverberg,1
81100174074, Choon Hong Peck,1
81100485034, Yuanzhen Li,1
81538470456, Felix Lau,1
81100481379, John L. Sibert,1
81100522442, Shraddha Sorte,1
81100104467, Adam Rosien,1
81100001340, Steven Schkolne,1
81452600527, Joonhwan Lee,1
81538558256, Steve Ball,1
81309487122, Danyel Fisher,1
81100206925, Lesley Fishwick,1
81100526368, Steve Cornett,1
81332509115, Jeff Klann,1
81100331534, Martin Wattenberg,1
81310499626, Elizabeth Veinott,1
81100225472, Hideyuki Nakanishi,1
81100501214, Orkut Buyukkokten,1
81332510496, Gordon Kurtenbach,2
81100324121, Hilary Hutchinson,1
81100027001, Patrice Simard,1
81100388123, Maureen Stone,1
81100458252, Walter Bender,1
81100147302, Stephen Voida,1
81100211248, Chris Quintana,3
81100643284, Magnus Ingmarsson,1
81100450985, Ling Bao,1
81100002852, Rick Borovoy,1
81100463796, Heiko Hansen,1
81100012263, Hugo R. Mills,1
81452610940, Robert St. Amant,1
81100164455, Christian Heath,2
81100615948, Brian P. Bailey,3
81100216445, Johan Aberg,1
81100456294, Jeff Dyck,1
81100397726, David G. Boyer,1
81100267268, Kevin P. Moloney,2
81100339162, Fumio Kishino,1
81100662683, Samuel A. Inverso,1
81100150985, Karrie Karahalios,1
81100134045, F. Wai-ling Ho-Ching,1
81100480460, Masuma A. Walji,1
81539530556, David L. Atkins,1
81100186035, Leonardo Bonanni,1
81100561154, Dirk vom Lehn,1
81100633125, Omer Tsimhoni,1
81100351909, Richard Hull,1
81350594298, Boreum Choi,1
81100173923, Yvonne Rogers,1
81100414889, Ruth Rosenholtz,4
81328490974, Max Van Kleek,1
81100426389, Alvin W. Yeo,1
81100415667, Simson L. Garfinkel,1
81100493478, Randy Pausch,4
81100493573, Amanda Lyons,1
81455605565, Chris Cheung,1
81100493208, Aaron Rosenberg,1
81100435014, Emmanuel Munguia Tapia,1
81100362804, Per-Ola Kristensson,1
81100569254, David Meyer,1
81328487657, Rebecca Allen,1
81100169181, Joseph Krajcik,1
81100407787, Les Nelson,1
81100327371, Anind K. Dey,3
81451599001, Shyong K. Lam,1
81100283085, Josephine Reid,1
81100159930, Francois Sainfort,2
81392591402, Sung Joo Bae,1
81100478916, Anthony LaMarca,1
81100069810, Luis von Ahn,1
81100330316, Ed H. Chi,3
81100255622, Silvia Miksch,1
81100275704, Carl Gutwin,8
81452616265, Graham Smith,1
81542123356, Ian Taylor,3
81100178543, Gary Olson,2
81100345201, Azam Khan,2
81339528031, Ehud Sharlin,1
81100424154, Nikolaus Troje,1
81319495216, Julie Kientz,1
81100367406, I. Scott MacKenzie,2
81100489674, Andrew Howes,2
81100438120, Robert J. K. Jacob,1
81100399958, Norihiro Hagita,1
81100046144, Yuji Ayatsuka,1
81538105656, Arman Danesh,1
81405596165, Rafael Ballagas,1
81100543139, Olha Bondarenko,1
81350578663, Jacob Beaver,1
81100375996, Benjamin Watson,1
81332522318, James Pycock,1
81100448368, Ronald M. Baecker,2
81100005383, Amanda Williams,1
81100288358, Dan Cosley,3
81100104022, William W. Gaver,1
81100250935, Danae Stanton,1
81100443423, Jan Borchers,2
81416597588, Zach Wright,1
81100048540, Peter Tarasewich,1
81100050542, Daniel Plaisted,1
81100088903, Enrico Costanza,1
81100421259, Gunnar W. Klau,1
81100002452, Sheilah Horman,1
81100335844, Rashmi R. Sinha,1
81100451355, S. M. Goza,1
81418595068, R. Matthews Wesson,1
81100624219, Tomer Moscovich,1
81100155716, Carsten Schwesig,1
81100297884, Fredric D. Vernier,1
81100607695, Caitlin Kelleher,1
81539676956, Stephen Bart Wood,1
81100426680, Anthony J. Hornof,3
81100246470, Darren Gergle,4
81100304666, Crystal Hoyer,1
81100017597, Dave Snowdon,1
81100650762, Jennifer Mankoff,6
81100268477, Ethan Phelps-Goodman,1
81100018204, Yong Rui,3
81536946656, Simon Lewis,1
81328487987, Jane Chiu,1
81100392019, Stefan Agamanolis,2
81100475536, Ian Li,1
81100377766, Miguel A. Nacenta,1
81100607003, Russell Kruger,1
81385593166, Pr-Anders Albinsson,1
81100133918, Dennis Chao,1
81452599494, Jennifer Lai,1
81100382213, Nicole Leduc,1
81100005173, Muneo Kitajima,3
81100226633, Brygg Ullmer,1
81100175263, Andrew T. Duchowski,1
81100619971, Steve Benford,11
81100478137, Derek Johns,1
81100615985, Michiel Bacchiani,1
81100603640, John Davis,1
81321492840, Hideaki Ito,1
81100324367, Piotr D. Adamczyk,2
81100583820, Susan R. Fussell,5
81100253714, Misha W. Vaughan,1
81100260236, Florian Mueller,2
81328488768, Shahram Izadi,1
81100525820, Qiong Liu,1
81100014051, Sunil Vemuri,1
81100291916, John Pruitt,1
81452601376, Curtis Cook,3
81100431441, Matthew Karau,1
81100251687, Gregory D. Abowd,1
81100405925, Marek Bell,1
81100358954, Tatu Kauppinen,1
81100457150, Wendy A. Kellogg,2
81100054519, Zhenlan Jin,1
81416600019, Pauline Powledge,1
81452610559, Mitsuo Kawato,1
81408591988, Shumin Zhai,10
81100330096, Simeon Keates,1
81328488846, Scott Hudson,6
81100346993, Brian Amento,3
81100478551, Brian H. Philips,1
81100657783, Mike Wu,1
81100423199, Jo Morrison,1
81100047223, Kasper Hornb,2
81100365303, Allison Druin,2
81318489912, Younghee Jung,1
81410595121, Dan R. Olsen,3
81100334933, Marius Wolf,1
81444595062, Sean Uberoi Kelly,1
81100180551, Lisa Stifelman,1
81543102456, Zhiwei Guan,1
81100212554, QianYing Wang,1
81100365992, Barry Arons,1
81100200032, Daniel B. Horn,1
81100415136, Toni Pashley,1
81100463111, Saeed Arida,1
81100235869, Thomas Erickson,2
81336490026, Timothy M. Johnson,1
81100501447, Anthony Steed,3
81540489656, Hao Chen,1
81100551162, Antti Pirhonen,1
81100331104, Elizabeth Mynatt,7
81100228951, Kai-Mikael,1
81100265136, Erik Fr,2
81408592702, Kenneth Carey,1
81100513321, Eric Paulos,2
81100537961, Nicole Shechtman,1
81406599725, Jinwoo Kim,1
81100109603, Milton Chen,2
81100527449, Wendy C. Newstetter,1
81100078779, Scott Minneman,1
81100469717, Leon Barnard,2
81100126432, Peter Scupelli,3
81100072975, Hideaki Kuzuoka,1
81100640678, Arthur Tang,1
81452593533, Inseong Lee,1
81100584798, Clifton Forlines,1
81100479679, Leonard M. Horowitz,1
81332493266, Sonia Chiasson,1
81100153571, Chris Varma,1
81100130516, Kyle Sheridan,1
81100578560, Alex Osipovich,1
81100573952, David Pinelle,1
81331502299, Mitchel Resnick,2
81100372905, Tim Paek,1
81332493853, Jonathan Cohen,1
81100031934, Erika Kindlund,1
81100010024, Steve Harrison,1
81100269038, Gavin Jancke,2
81100438849, Robert W. Lindeman,1
81100276946, Loren Terveen,3
81100214718, Wolfgang Stuerzlinger,1
81100562702, Amy S. Bruckman,1
81339530542, Hui Su,1
81100415680, Giovanni Iachello,1
81423596141, Nathaniel Good,4
81410591859, Gregory J. Wolff,1
81100281009, Catherine C. Marshall,1
81100006469, Morris Williams,1
81100062088, Rebecca Lunsford,1
81100190450, Areti Galani,1
81100295906, Michael A. Terry,2
81100449440, Peter Johnson,1
81350576124, John M. Carroll,2
81100607754, Andy Cockburn,3
81100221474, Min Lin,1
81452600078, Rob Anastasi,2
81100572058, Steve Cousins,1
81100459425, Sunny Consolvo,1
81100299392, Attila Narin,1
81100205383, Michael Boyle,1
81100272823, Jaime Montemayor,1
81100274421, Sara Bly,2
81406596787, David W. McDonald,1
81100317467, Joyce Ho,1
81100182446, Patrick Langdon,1
81100609167, Allan MacLean,1
81100175348, Gilbert Cockton,2
81409593242, Claire O'Malley,2
81100457431, Brinda Dalal,2
81100349845, Clayton Lewis,1
81100049091, Joseph A. Konstan,2
81100606322, Xiaodong Jiang,1
81100497202, Kumiyo Nakakoji,1
81100397464, Phoebe Sengers,1
81332504327, Michael Hoch,1
81100338513, Richard G. Niemi,1
81100389859, Kwan Min Lee,1
81100339352, James Patten,2
81100535232, Ari Nyknen,2
81100192841, Albert T. Corbett,2
81100302436, Jim Rowan,2
81550973056, Christine Alvarado,1
81452607037, Meredith Ringel,2
81100170743, Leah Findlater,2
81100487744, Paul Chandler,1
81100385689, Eric Lee,1
81316489615, Heidi Lam,1
81341491415, Kristina,2
81100139403, Joseph Gonzalez-Heydrich,1
81100297437, Gian Pangaro,2
81100153192, Justin Matejka,1
81100420884, Scott D. Mainwaring,2
81100020339, Annika Waern,1
81100071502, Hiromichi Hashizume,1
81100519448, Ken Hinckley,4
81546277456, Philip Isenhour,1
81100444749, Chris Schmandt,2
81100533516, John Wilson,1
81100519232, Kori Inkpen,2
81100500926, Eijiro Mori,1
81388599173, Johnny Lee,2
81410594440, David Nguyen,1
81406594629, Mark W. Newman,2
81100039309, Mika Kki,2
81100299928, Erik Nordlander,1
81100427087, Tim Diggins,1
81100651315, Jeremy P. Birnholtz,1
81100651314, Robert W. Reeder,1
81100477897, Tovi Grossman,4
81100243653, Jeffrey I. Schiller,1
81350572592, M. Stella Atkins,1
81100068716, Annie Jacobs,1
81100595586, Paula J. Edwards,2
81100601574, Marc Davis,1
81350567367, Judy Olson,2
81100008564, Jun Rekimoto,3
81100067150, Rob Ingram,1
81100167916, Angela Z. Wagner,1
81331494616, Kazuhiro Hosoi,1
81100449782, Rick Kjeldsen,1
81100012107, Malcolm Hall,1
81100085970, Dag Svanaes,1
81100199539, Eric Fellheimer,1
81100261006, Joanna Lumsden,1
81100048163, Effie Lai-Chong Law,1
81100368185, Cristina Lopes,1
81100218855, Litza Stark,1
81100456453, John Shon,1
81332530745, Preeti Swani,1
81100420717, Melora Zaner-Godsey,1
81100506242, Edward Cutrell,3
81100182322, R. O. Ambrose,1
81332516480, Torsten Moller,1
81100306087, Anne Kaikkonen,1
81361598222, Dzmitry Aliakseyeu,1
81312482998, Meera Manahan,1
81100560074, Ka-Ping Yee,2
81100185743, Matthew Romaine,1
81100088014, Rachid Hourizi,1
81332527335, Robert M. Sherman,1
81100350049, Nicholas Fang,1
81100387188, Anastasia Bezerianos,1
81100047102, Christopher Sung,1
81100538614, Mary Flanagan,1
81350577066, Carlos Jensen,2
81100337837, Yan Qu,1
81100002187, Barry A. Po,2
81100574122, Mikko Lindholm,2
81100301174, Kumar Chellapilla,1
81100595699, W. Keith Edwards,3
81100496593, Rosalind Picard,1
81100138797, Martin Flintham,4
81339509657, Maria Klawe,1
81100100757, Karen Cheng,1
81100538787, Lena Mamykina,1
81100507433, Pernilla Qvarfordt,1
81100011274, Mark Podlaseck,1
81100096968, John Riedl,2
81100206506, Keith Shu,1
81327488395, Sidney Fels,2
81405592857, David Gareth Evans,1
81100105767, Jun'ichi Kosaka,1
81344500170, Kenneth Wood,2
81100374752, Betsy Beier,1
81100415489, John Canny,2
81100620449, Akiko Yamazaki,1
81100470296, Wojciech Basalaj,1
81100413072, Jason Tabert,1
81100166665, Julia Hirschberg,1
81100008987, Amanda J. Parkes,1
81100176370, Weimin Mou,1
81100381813, Hayes Solos Raffle,1
81100119126, Julie Chen,1
81100306905, Barbara Freeman,1
81100268044, David Fono,1
81100236706, Wendy Mackay,1
81100005666, Maribeth Back,2
81100470644, Kevin Larson,1
81409593205, Bongshin Lee,1
81100224720, Oren Zuckerman,1
81100031847, Debby Hindus,1
81100013136, Brad A. Myers,2
81100649048, Sri Kurniawan,1
81363590769, Tom Jenkins,1
81452616406, B. J. Fogg,1
81100288565, Susan Wilhite,1
81100515636, Jesper Kjeldskov,1
81100094107, Cecilia R. Aragon,1
81452608837, Ian Smith,3
81343506379, Margaret H. Szymanski,2
81100028343, Ian MacColl,1
81100566859, James M. Hudson,1
81408601767, Bernd Lintermann,1
81341495549, Frank E. Ritter,1
81547892656, Thomas E. Horton,1
81100561284, Ben Piper,1
81100367734, Daniel Avrahami,1
81100616051, Nick Tandavanitj,2
81100009412, David Dinka,1
81100371655, Victor Bayon,1
81100368808, Sheryl M. Ehrlich,1
81100363076, Hiroshi Ishii,5
81100141598, Akshay Rangnekar,1
81100289294, Dario D. Salvucci,4
81408598366, Jason I. Hong,1
81329491340, Pat Peterson,1
81335496622, Mary Beth Rosson,3
81332497353, Margery Eldridge,1
81100143867, Yves Guiard,2
81100622014, Ann Marie Clark,1
81100540612, Htet Htet Aung,1
81100296046, Melody Y. Ivory,2
81100500153, Thomas P. Santoro,1
81332499007, Malcolm Foster,1
81100162232, Robert Miller,3
81100575572, Pamela J. Ludford,1
81100517821, Paul Gnanayutham,1
81100270213, Thomas A. Furness,1
81100103519, James A. Landay,9
81452618006, Janet L. Kolodner,1
81100539968, Fernanda B. Vigas,1
81100398596, Scott Counts,1
81310499777, Nicole Yankelovich,1
81100229966, Tim Halverson,1
81100408150, Katherine Godfrey,1
81100161020, Alain Karsenty,1
81100099317, Habib Abi-Rached,1
81100001812, Brian Silverman,1
81100590142, Paul M. Aoki,3
81341496249, Minako Sawaki,1
81100253314, Holly Fait,1
81100649937, George W. Furnas,1
81536794756, Frank J. Lee,1
81414597360, Yunsuk Jeon,1
81100402263, Jan Blom,1
81100222950, Matthew Kam,1
81100522263, V. Kathlene Emery,2
81332526317, Cheryl D. Seals,1
81100322683, Stephane Conversy,2
81100190928, Curtis Wong,1
81100038403, Erica Robles,1
81100266861, Anton Nijholt,1
