conference	year	title	citationCount	
CHI	1	Scale effects in steering law tasks	29	81100509407: Johnny Accot|81408591988: Shumin Zhai|
CHI	1	Accuracy measures for evaluating computer pointing devices	93	81100367406: I. Scott MacKenzie|81100358954: Tatu Kauppinen|81100199031: Miika Silfverberg|
CHI	1	Laser pointer interaction	89	81410595121: Dan R. Olsen|81332518387: Travis Nielsen|
CHI	1	Listen reader: an electronically augmented paper-based book	54	81100005666: Maribeth Back|81332493853: Jonathan Cohen|81332501009: Rich Gold|81100010024: Steve Harrison|81100078779: Scott Minneman|
CHI	1	Exploiting interactivity, influence, space and time to explore non-linear drama in virtual worlds	10	81100554242: Mike Craven|81542123356: Ian Taylor|81100638532: Adam Drozd|81100542016: Jim Purbrick|81100557223: Chris Greenhalgh|81100619971: Steve Benford|81100364452: Mike Fraser|81100260889: John Bowers|81100228951: Kai-Mikael|81408601767: Bernd Lintermann|81332504327: Michael Hoch|
CHI	1	Orchestrating a mixed reality performance	31	81100296314: Boriana Koleva|81542123356: Ian Taylor|81100619971: Steve Benford|81100364452: Mike Fraser|81100557223: Chris Greenhalgh|81100504057: Holger Schn|81100561154: Dirk vom Lehn|81100164455: Christian Heath|81100463317: Ju Row-Farr|81100312947: Matt Adams|
CHI	1	Cookies and Web browser design: toward realizing informed consent online	25	81100351532: Lynette I. Millett|81100636215: Batya Friedman|81100373505: Edward Felten|
CHI	1	Empirically validated web page design metrics	49	81100296046: Melody Y. Ivory|81100335844: Rashmi R. Sinha|81100612246: Marti A. Hearst|
CHI	1	What makes Web sites credible?: a report on a large quantitative study	120	81452616406: B. J. Fogg|81100280809: Jonathan Marshall|81100342488: Othman Laraki|81100578560: Alex Osipovich|81100153571: Chris Varma|81100350049: Nicholas Fang|81100339687: Jyoti Paul|81100141598: Akshay Rangnekar|81100456453: John Shon|81332530745: Preeti Swani|81100446411: Marissa Treinen|
CHI	1	Improving the performance of the cyberlink mental interface with &ldquo;yes / no program&rdquo;	6	81100175531: Eamon Doherty|81100175348: Gilbert Cockton|81100198998: Chris Bloor|81100643688: Dennis Benigno|
CHI	1	Responding to subtle, fleeting changes in the user's internal state	16	81332532709: Wataru Tsukahara|81100632992: Nigel Ward|
CHI	1	An &ldquo;independent visual background&rdquo; reduced balance disturbance envoked by visual scene motion: implication for alleviating simulator sickness	2	81100369572: Henry Been-Lirn Duh|81100170435: Donald E. Parker|81100270213: Thomas A. Furness|
CHI	1	Layered participatory analysis: new developments in the CARD technique	17	81332517372: Michael J. Muller|
CHI	1	Building a human factors &ldquo;knowledge shelf&rdquo; as a collaborative information tool for designers	0	81100478551: Brian H. Philips|81100275460: Moin Rahman|81339506713: Jari Jrvinen|
CHI	1	Global-software development lifecycle: an exploratory study	26	81100426389: Alvin W. Yeo|
CHI	1	Ignoring perfect knowledge in-the-world for imperfect knowledge in-the-head	9	81100400779: Wayne D. Gray|81100244379: Wai-Tat Fu|
CHI	1	Predicting the effects of in-car interfaces on driver behavior using a cognitive architecture	14	81100289294: Dario D. Salvucci|
CHI	1	Towards demystification of direct manipulation: cognitive modeling charts the gulf of execution	3	81100254452: David Kieras|81100569254: David Meyer|81100032930: James Ballas|
CHI	1	Visualization components for persistent conversations	62	81100077378: Marc A. Smith|81542582156: Andrew T. Fiore|
CHI	1	Time Aura: interfaces for pacing	5	81100538787: Lena Mamykina|81100331104: Elizabeth Mynatt|81100295906: Michael A. Terry|
CHI	1	Doom as an interface for process management	25	81100133918: Dennis Chao|
CHI	1	Shall we mix synthetic speech and human speech?: impact on users' performance, perception, and attitude	9	81100009981: Li Gong|81452599494: Jennifer Lai|
CHI	1	Effects of spatial audio on memory, comprehension, and preference during desktop conferences	17	81100522643: Jessica J. Baldis|
CHI	1	Quiet calls: talking silently on mobile phones	30	81100407787: Les Nelson|81100274421: Sara Bly|81100318754: Tomas Sokoler|
CHI	1	The audio notebook: paper and pen interaction with structured speech	58	81100180551: Lisa Stifelman|81100365992: Barry Arons|81100444749: Chris Schmandt|
CHI	1	Does organisation by similarity assist image browsing?	84	81100347361: Kerry Rodden|81100470296: Wojciech Basalaj|81100094737: David Sinclair|81344500170: Kenneth Wood|
CHI	1	Using thumbnails to search the Web	62	81100327302: Allison Woodruff|81100067252: Andrew Faulring|81100414889: Ruth Rosenholtz|81100423179: Julie Morrsion|81100252735: Peter Pirolli|
CHI	1	On the road and on the Web?: comprehension of synthetic and human speech while driving	9	81452599499: Jennifer Lai|81100100757: Karen Cheng|81407594358: Paul Green|81100633125: Omer Tsimhoni|
CHI	1	Accordion summarization for end-game browsing on PDAs and cellular phones	44	81100501214: Orkut Buyukkokten|81100308969: Hector Garcia-Molina|81100130120: Andreas Paepcke|
CHI	1	ConNexus to awarenex: extending awareness to mobile users	108	81405592014: John C. Tang|81310499777: Nicole Yankelovich|81385592906: James Begole|81328490974: Max Van Kleek|81414609896: Francis Li|81414617247: Janak Bhalodia|
CHI	1	Beyond command knowledge: identifying and teaching strategic knowledge for using complex computer applications	7	81100435759: Suresh K. Bhavnani|81100564883: Frederick Reif|81100482886: Bonnie E. John|
CHI	1	Teachers as simulation programmers: minimalist learning and reuse	5	81335496622: Mary Beth Rosson|81332526317: Cheryl D. Seals|
CHI	1	Locus of feedback control in computer-based tutoring: impact on learning rate, achievement and attitudes	31	81100192841: Albert T. Corbett|81363598414: John R. Anderson|
CHI	1	Sensetable: a wireless object tracking platform for tangible user interfaces	91	81100339352: James Patten|81100363076: Hiroshi Ishii|81332504228: Jim Hines|81100297437: Gian Pangaro|
CHI	1	Surface drawing: creating organic 3D shapes with the hand and tangible tools	63	81100001340: Steven Schkolne|81100420528: Michael Pruett|81100117380: Peter Schr&#246|
CHI	1	DataTiles: a modular platform for mixed physical and graphical interactions	80	81100008564: Jun Rekimoto|81100226633: Brygg Ullmer|81100154483: Haruo Oba|
CHI	1	Optimizing search by showing results in context	84	81100134501: Susan Dumais|81100506242: Edward Cutrell|81540489656: Hao Chen|
CHI	1	Robust annotation positioning in digital documents	32	81332491415: A. J. Bernheim Brush|81100187010: David Bargeron|81452611908: Anoop Gupta|81100025873: J. J. Cadiz|
CHI	1	Reading of electronic documents: the usability of linear, fisheye, and overview+detail interfaces	47	81100047223: Kasper Hornb|81100265136: Erik Fr|
CHI	1	Eye gaze patterns in conversations: there is more to conversational agents than meets the eyes	90	81100497077: Roel Vertegaal|81100136322: Robert Slagter|81100545115: Gerrit van der Veer|81100266861: Anton Nijholt|
CHI	1	The impact of eye gaze on communication using humanoid avatars	56	81100051968: Maia Garau|81100615391: Mel Slater|81100302046: Simon Bee|81100499004: Martina Angela Sasse|
CHI	1	The dynamics of mass online marketplaces: a case study of an online auction	6	81100617612: Jungpil Hahn|
CHI	1	Digital family portraits: supporting peace of mind for extended family members	178	81100331104: Elizabeth D. Mynatt|81100302436: Jim Rowan|81100526497: Sarah Craighill|81100068716: Annie Jacobs|
CHI	1	Social navigation of food recipes	26	81100551494: Martin Svensson|81341491415: Kristina|81100629235: Jarmo Laaksolahti|81100020339: Annika Waern|
CHI	1	Chinese input with keyboard and eye-tracking: an anatomical study	25	81100233343: Jingtao Wang|81408591988: Shumin Zhai|81339530542: Hui Su|
CHI	1	Model for unistroke writing time	13	81100311272: Poika Isokoski|
CHI	1	Text input for mobile devices: comparing model prediction to actual performance	64	81100415127: Christina L. James|81332522999: Kelly M. Reischel|
CHI	1	Better home shopping or new democracy?: evaluating community network outcomes	13	81350576124: John M. Carroll|81335496622: Mary Beth Rosson|
